"id","profileName","text","date","title","rating","images","helpful","Colour","Size name"
"R6V753PL5XXH0","Zion","I don't even see the dynamic island I pictures 🤣. It is fraud. Refrain from buying iPhone 14 from online for a while.","Reviewed in India on 27 September 2022","🤣🤣🤣🤣🤣",1,"","10","Starlight","256 GB"
"R4CGCJLFE97G6","Harinder","Very nice with dynamic island ... Good phone... Very nice camera quality..good speed. Price is high .. Good picture resolution","Reviewed in India on 16 September 2022","Dashing look... Purple 🟣 iPhone pro",5,"","18","Red","128 GB"
"R2JONP8B0ETGF6","Sriharsha","I sold my neighbour's 2 acre land by doing forgery and bought this phone. I'm doing vlogs with this phone in jail it's worth it.","Reviewed in India on 16 September 2022","it's worth it.",5,"","325","Red","128 GB"
"RWRBDN8H7A4DD","Jay","I will like this phone iphone is best camera  a best but charger is slow but iphone is a best","Reviewed in India on 17 September 2022","I is very good phone but all thing I a 13 mini",5,"","2","Starlight","128 GB"
"R3LV9QAMYPPP9X","Hamza Khan","Best phone yet from apple its a masterpiece surelyCamera with 48 mp now is truly a great upgrade 🔥","Reviewed in India on 16 September 2022","Great Phone",5,"","8","Blue","256 GB"
"RW3NDOMQITZRL","harsh manshani","New phone new feels..love how apple make their same phone look like a new model..This new blue color is just mind-blowing","Reviewed in India on 16 September 2022","Not new..but yes it does feel new and fresh loved the phone..",5,"","3","Blue","256 GB"
"R3TKCPQ8ESOY9","Sridhar B.","The phone is good but battery and iPod they should start giving after the EU lawsuit. Hope Apple 🍎 make customers Appy.","Reviewed in India on 18 September 2022","Iphone 14",3,"","8","Midnight","128 GB"
"R34XTHLLERIJV2","Anurag ",,"Reviewed in India on 17 September 2022","Phone To Bahut Accha Hai Par Isko Asli Wale Amir He Aford Kar Sakte Hai Ham Nahi 😂",4,"https://m.media-amazon.com/images/I/31JZVYiuuYL.jpg","33","Purple","128 GB"
"R2ELHA7I4O3PIK","Satvik chaudhary","Nice but almost same Not Purchased Yet But Buying after some time I Am Feeling Good About this Apple Product","Reviewed in India on 16 September 2022","Its Almost Same",5,"https://m.media-amazon.com/images/I/21rxAWD+lHL.jpg","5","Starlight","512 GB"
"R270K4E9HG8DP8","Subarna Biswas","Its Iphone Bro.....What else is there to say? If Your Budget Is Too Big, Go For It Without Any Worries....","Reviewed in India on 16 September 2022","Best Mobile In The World",5,"","6","Midnight","512 GB"
"R4VT5CAWJ5K11","Manikanta korada","The phone absolutely fine as it is Apple product but giving the previous version chip is not appreciable.The new action mode is marvelous.The battery is far better than 13.","Reviewed in India on 16 September 2022","Using previous version chip A15 is discouraging.",4,"","40","Red","256 GB"
"R15BEH2F83SQIT","Rabari samraj",,"Reviewed in India on 17 September 2022","Best",5,"https://m.media-amazon.com/images/I/81TQ00VdDkL.jpg","8","Red","128 GB"
"RFBY55ZN2OU7W","Rahul Kashyap ","As all apple products, I phone 14 has much more increased battery life , camera can take low light photos , and impressive A15 ultra bionic processor makes the gaming experience super smooth .A worth buy.!","Reviewed in India on 21 September 2022","Wonderful product",5,"","2","Starlight","512 GB"
"R2H1Z2OKXIKDX4","Mohit Gupta","Camera is Good but Rather than buying 14 series you should go for 13pro series in Great Indian Sale it will be much more worthful in same price with beast camera and performance","Reviewed in India on 17 September 2022","13 Pro series would me much better option than 14 series",3,"","18","Red","256 GB"
"R1WJ0A63X9UOVV","MOHEET","Pros.Improved camera.Latest iOS 16 with resolved bugs.Compact and less weight.Potrait shots gives better result than 13.ConsOld gen bionic a15 chip","Reviewed in India on 17 September 2022","Awesome. Premium",4,"https://m.media-amazon.com/images/I/41UrvsxSibL.jpg
https://m.media-amazon.com/images/I/41h89PBUXGL.jpg
https://m.media-amazon.com/images/I/51kbECD6VaL.jpg
https://m.media-amazon.com/images/I/61P0dlEmDkL.jpg
https://m.media-amazon.com/images/I/61P0dlEmDkL.jpg
https://m.media-amazon.com/images/I/61dL-PhSXyL.jpg
https://m.media-amazon.com/images/I/61mVIxwZKWL.jpg
https://m.media-amazon.com/images/I/71Ahkjeg+YL.jpg
https://m.media-amazon.com/images/I/71YJM4hbVoL.jpg","22","Red","256 GB"
"R5Q3YQZ2UCI2C","Adarsh verma","It's a great phone I love this & it's my first iphone mobile so comparing with Android it has cool features & very good display quality means everything is very. Awsm just go for it","Reviewed in India on 17 September 2022","Great phone",5,"","4","Midnight","128 GB"
"R795I8A7PR48Z","Misha","People are saying that Iphone 13 would be a better choice but I think iphone 14 is better in some aspects, including camera and battery. Great!","Reviewed in India on 19 September 2022","Awesome!",5,"","2","Starlight","256 GB"
"R1LCV5MXII2255","M. K.Patel","It is the most lagging phone and it's speed is very slow , the phone is looking good but when you use it ,it's seems to be very slower than a normal Android phone  , if you what to purchase iphone then choose iphone 14 pro it's A16 bionic chic is so fast and no one can  compare any phones with iphone 14 pro............it's awesome 😎","Reviewed in India on 18 September 2022","Very good 👍🏻😊",1,"","25","Starlight","128 GB"
"R19RIL7HYYFT3F","prince","Nice phone I sold my kidney but it worth it. I am planning to buy one for my wife too but my second kidney is not good so no buyer found","Reviewed in India on 16 September 2022","Nice",5,"","246","Midnight","256 GB"
"R1QTBR95ZS4QQV","Insta - Himanshu.sangwan000","If you are already a iOS user you should go for it , if not then you should buy iphone 13.","Reviewed in India on 19 September 2022","Should you buy this iphone ?",5,"","3","Starlight","256 GB"
"R17FA8OTYRMTV0","DEEPAK KUMAR",,"Reviewed in India on 19 September 2022","I sold my 11 to upgrade 14 , awesome feel",5,"https://m.media-amazon.com/images/I/51fo4QBOKnL.jpg","19","Midnight","128 GB"
